,site,Section,Period,Total Bones Recorded,Geographic Region,author,time,Cervus_elaphus,Dama_mesopotamica,Cervus_Dama,Cervidae,Dama,Megaloceros_sp,Praemegaceros_verticornis,Pseudodama_sp,Capreolus_sp,Capreolus_capreolus,Pontoceros_antiquus_or_Sprocerus_sp,Bovini_gen_et_sp_Indet.,Bovidae_gen_et_sp_Indet.,Bos_sp,Bos_primigenius,Bos_oldowayensis,Leptobos_sp,Pelorovis_oldowayensis,Alcelaphus_sp,Alcelaphus_buselaphus,Gazella_gazella,gazelle_sp,Capra_sp,Capra_aegagrus,shepgoat,Capra_ibex_nubiana,Oryx_sp,Oryx_leucoryx,Oryx_cf_gazella,Antelopini_gen_et_sp_indet,Equus_sp,Equus_africanus,Equus_ferus,Equus_hyduntinus,Equus_caballus,Equus_caballus_hydruntinus,Equus_tabeti,Equus_hemionus,Equus_hemionus_asinus,Equus_cf_melkiensis,Sus_scrofa,Sus_strozzi,Kolpochoerus_olduvaniensis,Kolpochoerus_evronesis,Hippopotamus_sp,hippopotamus_amphibius,Lycaon_sp,Lycaon_lycaonoides,Canis_sp,Canis_aureus,Canis_mosbachensis,Canis_lupus,Ursus_arctos,Ursus_etruscus,Ursus_sp,Panthera_lio,Panthera_paradus,Panthera_gombaszoegensis,panthera_sp,Megantereon_sp,Acinonyx_jobatus,Lynx_sp,Felidae_indet,Felis_chaus,felis_caracal,felis_sylvestris,Genetta_genetta,Herpestes_sp,Herpestes_Icheumon,Meles_meles,Mustelidae,Mustella_nivalis,Martes_foina,Vormela_peregusna,Procavia,Procavia_capensis,Erinaceus_sp,Erinaceus_concolor,Microtus_guenthri,Microtus_Chionomys,Spalax_ehrenbergi,Stellagama_stellio,Crocidura_cf_suaveolens,Gerbillus_sp,Apodemus_sp,Chionomys_nivalis,Mellivora_sp,cf Mellivora_capensis,Lutra_simplicidens,Vulpes_sp,Vulpes_vulpes,cf_Caracal_caracal,Crocuta_crocuta,Crocuta_Hyaena,Hyaenidae_Indet,Hyaena_hyaena,Hystrix_indica,Hystrix_refossa,Procavia_capensis.1,Lepus_capensis,Rhinoceros_sp,Dicerhorinus_sp,Dicerorhinus_hemitoechus,Stephanorhinus_etruscus_etruscus,Stephanorhinus_sp,Stegodon_sp,Mammuthus_sp,Elephas_sp,Palaeoloxodon_antiquus,Camelus_sp,Camelus_cf_thomasi,Giraffa_sp,Hypolagus_beremendensis,Palaeoloxodon_antiquus.1,Struthio_camelus,sciurus_anomalous,Theropithecus_cf_oswaldi,Macaca_sylvana,mediumlarge,Ovis_aries,Capra_hircus,Ovis_Capra,Bos_taurus,Sus_scrofa_dom,Equus_asinus,Canis_familiaris,Equus_sp.1,Equus_cabalus,Camelus_dromedarius,Bos_indicus,Mule,Gallus_galus,REG_NAME,Y,X,
0,Tel Masos,Prehistory,Chalcolithic,56,Beer Sheva Region,Tchernov and Drori 1983,Chalcolithic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,23,0,0,0,0,0,0,0,0,0,בקעת באר שבע ועמ,569145,196750,
1,Horvat Hor,Prehistory,Chalcolithic,128,Beer Sheva Region,Horwitz,Chalcolithic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,32,0,0,0,0,0,0,0,0,0,בקעת באר שבע ועמ,577500,193500,
2,Shoket Junction,Prehistory,Chalcolithic,53,Beer Sheva Region,Horwitz et al. nd,Chalcolithic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,37,7,0,0,2,0,0,0,0,0,0,בקעת באר שבע ועמ,579317,190780,
3,Arad,Biblical,Early Bronze,320,Beer Sheva Region,Davis 1982,Early EB ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,39,212,7,0,0,0,13,0,0,0,0,0,בקעת באר שבע ועמ,576620,212084,
4,Arad,Biblical,Early Bronze,383,Beer Sheva Region,Lernau,EB I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,30,251,29,0,3,1,0,0,1,0,0,0,בקעת באר שבע ועמ,576620,212084,
5,Arad,Biblical,Early Bronze,2826,Beer Sheva Region,Lernau,EB II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,258,1886,210,0,64,10,0,0,2,0,0,0,בקעת באר שבע ועמ,576620,212084,
6,Aroer,Biblical,Iron Age,1738,Beer Sheva Region,Motro 2011,IAIIB-C,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,140,1162,98,44,0,3,36,0,10,0,0,0,בקעת באר שבע ועמ,562234,197941,
7,Tel Masos (4th season),Biblical,Iron Age,291,Beer Sheva Region,Sade nd,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,47,0,7,1,0,0,0,0,0,1,בקעת באר שבע ועמ,569144,196749,
8,Tel Masos,Biblical,Iron Age,70,Beer Sheva Region,Tchernov and Drori 1983,IAI (I),0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,11,0,6,0,0,0,0,0,0,0,בקעת באר שבע ועמ,569145,196750,
9,Tel Masos,Biblical,Iron Age,270,Beer Sheva Region,Tchernov and Drori 1983,IAI (II),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,81,1,6,2,0,0,0,0,0,0,בקעת באר שבע ועמ,569145,196750,
